prioridad,id,nombre,categorias_actuales,url
P3 - sin categoría (recategorizar),119417,Createx Airbrush Colors 960ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-960ml/
P3 - sin categoría (recategorizar),119406,Createx Airbrush Colors 480ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-480ml/
P3 - sin categoría (recategorizar),119249,Createx Airbrush Colors 240ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-240ml/
P3 - sin categoría (recategorizar),119007,Createx Airbrush Colors 120ml unidad,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-120ml-unidad/
P3 - sin categoría (recategorizar),118831,Createx Airbrush Colors 60ml unidad,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-unidad/
P3 - sin categoría (recategorizar),118807,Createx Airbrush Colors 60ml 5815-00 Mix Kent Lind Cool Set 8,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5815-00-mix-kent-lind-cool-set-8/
P3 - sin categoría (recategorizar),118804,Createx Airbrush Colors 60ml 5816-00 Mix Kent Lind Warm Set 8,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5816-00-mix-kent-lind-warm-set-8/
P3 - sin categoría (recategorizar),118801,Createx Airbrush Colors 60ml 5802-00 Fluorescent Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5802-00-fluorescent-set-6/
P3 - sin categoría (recategorizar),118798,Createx Airbrush Colors 60ml 5811-00 Pearlized Sample Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5811-00-pearlized-sample-set-6/
P3 - sin categoría (recategorizar),118795,Createx Airbrush Colors 60ml 5801-00 Mix Primary Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5801-00-mix-primary-set-6/
P3 - sin categoría (recategorizar),118792,Createx Airbrush Colors 60ml 5803-00 Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5803-00-set-6/
P3 - sin categoría (recategorizar),118789,Createx Airbrush Colors 60ml 5804-00 Pearlized Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5804-00-pearlized-set-6/
P3 - sin categoría (recategorizar),118786,Createx Airbrush Colors 60ml 5810-00 Tropical Set 6,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5810-00-tropical-set-6/
P3 - sin categoría (recategorizar),118713,Candy2O 60ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/candy2o-60ml/
P3 - sin categoría (recategorizar),118705,Createx Candy2O 4040 Bleed Checker 120ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/candy2o-4040-bleed-checker-120ml/
P3 - sin categoría (recategorizar),118389,Createx Candy2O 120ml,Uncategorized,https://www.boykot.cl/tienda/uncategorized/candy2o-120ml/
P3 - sin categoría (recategorizar),118376,Createx Primer AutoBorne,Uncategorized,https://www.boykot.cl/tienda/uncategorized/createx-primer-autoborne/
P3 - sin categoría (recategorizar),118329,Createx Airbrush Cleaner,Uncategorized,https://www.boykot.cl/tienda/uncategorized/airbrush-cleaner/
P3 - sin categoría (recategorizar),118155,Gesso Acrílico Negro,Uncategorized,https://www.boykot.cl/tienda/uncategorized/gesso-acrilico-negro/
P3 - sin categoría (recategorizar),118122,Concept 220 grs. 20 hojas A4,Uncategorized,https://www.boykot.cl/tienda/uncategorized/concept-220-grs-20-hojas-a4/
P3 - sin categoría (recategorizar),114827,Gorro Acid Wrld 2 Tone Beanie (Fuschia),Uncategorized,https://www.boykot.cl/tienda/uncategorized/gorro-dyed-again-beanie/
P3 - sin categoría (recategorizar),114811,Calcetines Crew Sock (Black),Uncategorized,https://www.boykot.cl/tienda/uncategorized/calcetines-crew-sock/
P3 - sin categoría (recategorizar),114809,Calcetines Crew Sock Distort Reality,Uncategorized,https://www.boykot.cl/tienda/uncategorized/calcetines-crew-sock-distort-reality/
P3 - sin categoría (recategorizar),114790,Polera New World Disorder T-Shirt (Wine) XL,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-new-world-disorder-t-shirt-2/
P3 - sin categoría (recategorizar),114787,Capucha Tactics Hood Black,Uncategorized,https://www.boykot.cl/tienda/uncategorized/capucha-tactics-hood/
P3 - sin categoría (recategorizar),114768,Cortaviento RFLCTIV Silver Jacket L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/cortaviento-rflctiv-silver-jacket/
P3 - sin categoría (recategorizar),114758,Bolso Essential  Crossbody Bag – Olive,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-essential-crossbody-bag/
P3 - sin categoría (recategorizar),114738,Polera Reality Distortion Field Longsleeve Shirt (Black) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-reality-distortion-field-longsleeve-shirt-2/
P3 - sin categoría (recategorizar),114726,Gorro Bio-Tracker Cargo Bucket Hat One Size,Uncategorized,https://www.boykot.cl/tienda/uncategorized/gorro-bio-tracker-cargo-bucket-hat-one-size/
P3 - sin categoría (recategorizar),114705,Polera Identity Acquired T-Shirt (Mango) XL,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-identity-acquired-t-shirt/
P3 - sin categoría (recategorizar),114703,Polerón End Hate – Take Action Hooded Sweatshirt (Orange) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/poleron-end-hate-take-action-hooded-sweatshirt/
P3 - sin categoría (recategorizar),114671,Polera Spirit Into Matter T-Shirt (Bright Coral) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-spirit-into-matter-t-shirt/
P3 - sin categoría (recategorizar),114645,Bufanda Familia Scarf One Size,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bufanda-familia-scarf-one-size/
P3 - sin categoría (recategorizar),114642,Polerón Official-End-Hate-(Volt-Green)-Hoodie L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/poleron-official-end-hate-volt-green-hoodie/
P3 - sin categoría (recategorizar),114641,Bolso Essential Tri-Strap Chest Bag  (Desert Coral),Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-essential-tri-strap-chest-bag/
P3 - sin categoría (recategorizar),114625,Jockey Spyral Dynamics  6 Panel Hat,Uncategorized,https://www.boykot.cl/tienda/uncategorized/jockey-spyral-dynamics-6-panel-hat/
P3 - sin categoría (recategorizar),114621,Bolso ANKL Bag (Red),Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-ankl-bag/
P3 - sin categoría (recategorizar),114604,Bolso Crossbody / Fanny Pack – Diamond Pink,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-fanny-pack/
P3 - sin categoría (recategorizar),114598,Bolso Neck Utility – Red,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-neck-utility/
P3 - sin categoría (recategorizar),114585,Polera Reality Distortion Field Longsleeve Shirt (SageGreen),Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-reality-distortion-field-longsleeve-shirt/
P3 - sin categoría (recategorizar),114576,Bolso Vapour Mini Satchel – Burgundy,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-vapour-mini-satchel/
P3 - sin categoría (recategorizar),114555,Pantalón RFLCTIV Silver Pants L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/pantalon-rflctiv-silver-pants/
P3 - sin categoría (recategorizar),114532,Gorro con Pompom #EFFERSlife Pom,Uncategorized,https://www.boykot.cl/tienda/uncategorized/gorro-con-pompom/
P3 - sin categoría (recategorizar),114527,Polerón Reality Distortion Field Hooded Sweatshirt (Slate Blue) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/poleron-reality-distortion-field-hooded-sweatshirt/
P3 - sin categoría (recategorizar),114493,Polera Deterministic Delusion Longsleeve Shirt (White) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/polera-deterministic-delusion-longsleeve-shirt/
P3 - sin categoría (recategorizar),114478,Chaqueta Ascent Tech Fleece Jacket (Black) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/chaqueta-ascent-tech-fleece-jacket-2/
P3 - sin categoría (recategorizar),114460,Chaqueta Ascent Tech Fleece Jacket (Brown) L,Uncategorized,https://www.boykot.cl/tienda/uncategorized/chaqueta-ascent-tech-fleece-jacket/
P3 - sin categoría (recategorizar),114443,Pantalón RFLCTIV Rainbow Reflective Track Pant M,Uncategorized,https://www.boykot.cl/tienda/uncategorized/pantalon-rflctiv-rainbow-reflective-track-pant/
P3 - sin categoría (recategorizar),114441,Bolso UV Shoulder Bag,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-uv-shoulder-bag/
P3 - sin categoría (recategorizar),114419,Bolso Hip Utility – Realtree® AP Camo,Uncategorized,https://www.boykot.cl/tienda/uncategorized/bolso-hip-utility/
