id,tipo,en_stock,categorias,nombre,url
106323,simple,False,Accesorios|Gomas|Gomas y sacapuntas,Goma Faber-castell PVC free 18 85 38,https://www.boykot.cl/tienda/materiales/accesorios-materiales/goma-faber-castell-pvc-free-18-85-38/
106292,simple,False,Lápices|Portaminas y minas,Mina Faber-castell 0.9 mm B 24 un. 9009/MA,https://www.boykot.cl/tienda/lapices/portaminas-y-minas/mina-faber-castell-0-9-mm-b-24-un-9009-ma/
106230,simple,False,Boligrafo|Lápices,Gel Roller Uni Ball Signo 0.7 mm,https://www.boykot.cl/tienda/lapices/boligrafo/gel-roller-uni-ball-signo-0-7-mm/
106227,simple,False,Accesorios|Accesorios|Pintura,GLASURIT 934-10 1C IMPRIMACIÓN ADHERENTE PARA PLÁSTICOS,https://www.boykot.cl/tienda/materiales/accesorios-materiales/glasurit-934-10-1c-imprimacion-adherente-para-plasticos/
104333,simple,False,Spray|Urban Fine Art,UFA Styrofoam PRIMER white 400ml,https://www.boykot.cl/tienda/pintura/sprays/urban-fine-art/ufa-styrofoam-primer-white-400ml/
104154,simple,False,Pintura,Acabado Cuero Angelus Edge Finish Brown,https://www.boykot.cl/tienda/pintura/acabado-cuero-angelus-edge-finish-brown/
104132,simple,False,Accesorios,Esponja organizadora 200.022,https://www.boykot.cl/tienda/materiales/accesorios-materiales/esponja-organizadora-200-022/
104113,simple,False,Acuarela|Ecoline,Set Ecoline-5 Colores Primary,https://www.boykot.cl/tienda/marcadores/ecoline/set-ecoline-5-colores-primary/
104098,simple,False,Acuarela|Brushpen|Ecoline,Set Ecoline GREY,https://www.boykot.cl/tienda/marcadores/brushpen/set-ecoline-grey/
103451,simple,False,Gomas|Gomas y sacapuntas|Portaminas y minas,Goma Portaminas MS-5 4un,https://www.boykot.cl/tienda/lapices/portaminas-y-minas/goma-portaminas-ms-5-4un/
103420,simple,False,Lápices|Lápiz gel,Lápiz Gel CHOOSE White BL-CH-7-W,https://www.boykot.cl/tienda/lapices/lapiz-gel/lapiz-gel-choose-white-bl-ch-7-w/
103411,simple,False,Herramientas de corte,Cuchillo 9mm Olfa 180 Black,https://www.boykot.cl/tienda/materiales/herramientas-de-corte/cuchillo-9mm-olfa-180-black/
